FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
CRECHES_CONVENIADAS.1982532,1982532,CRECHE BANANA DE PIJAMAS,Creches Conveniadas,31385808,RUA,OSORIO DE MORAIS,53,,Ouro Preto,PAMPULHA,POINT (606341.508478284 7801294.2201694)
CRECHES_CONVENIADAS.1983741,1983741,CRECHE  MAZZARELLO HAVAÍ,Creches Conveniadas,31384666,RUA,MARIO COUTINHO,160,,Havaí,OESTE,POINT (607777.608538858 7792871.07911963)
CRECHES_CONVENIADAS.1982098,1982098,CASA ESPÍRITA URBANO,Creches Conveniadas,31308552,RUA,VERA LUCIA PEREIRA,133,,Goiânia,NORDESTE,POINT (615181.342168115 7802021.55212309)
CRECHES_CONVENIADAS.1982089,1982089,CRECHE COMUNITÁRIA SOSSEGO DA MAMÃE,Creches Conveniadas,31282553,RUA,D,185,,Vila Maria,NORDESTE,POINT (616836.588214555 7804417.12451128)
CRECHES_CONVENIADAS.1981852,1981852,CENTRO INFANTO JUVENIL CRESCER SORRINDO,Creches Conveniadas,31308927,RUA,PEPERI,975,,Nova Granada,OESTE,POINT (608134.146782384 7794152.13392036)
CRECHES_CONVENIADAS.1982191,1982191,CRECHE CASINHA DA VOVÓ,Creches Conveniadas,31281492,RUA,CESAR DACORSO FILHO,104,,Vale do Jatobá,BARREIRO,POINT (600821.929960981 7787225.89373647)
CRECHES_CONVENIADAS.1982518,1982518,CRECHE SEMENTES DO AMANHÃ,Creches Conveniadas,31281981,AVENIDA,PRESIDENTE ANTONIO CARLOS,3800,,São Francisco,PAMPULHA,POINT (609650.071043599 7801860.78484681)
CRECHES_CONVENIADAS.1982523,1982523,ASSOCIAÇÃO ASSISTENCIAL SÃO TIAGO,Creches Conveniadas,31303755,RUA,URUCANIA,115,,Jardim São José,PAMPULHA,POINT (605428.800710696 7798783.39124135)
CRECHES_CONVENIADAS.1982052,1982052,CENTRO INFANTIL TRANSFORMAR,Creches Conveniadas,31303704,AVENIDA,SILVIANO BRANDAO,2513,,Horto,LESTE,POINT (613630.422543707 7798264.51685673)
CRECHES_CONVENIADAS.1982534,1982534,CRECHE BENEDITA HILÍDIA DA SILVA RESENDE,Creches Conveniadas,31290122,RUA,IZALINA FAUSTINA SILVEIRA,115,,Mantiqueira,VENDA NOVA,POINT (606295.249291784 7810601.68566178)
CRECHES_CONVENIADAS.1983441,1983441,INSTITUTO ONCINHA PINTADA,Creches Conveniadas,31380520,RUA,RAIMUNDA LOPES BARROSO,15,,Floramar,NORTE,POINT (611294.87099568 7806535.25490437)
CRECHES_CONVENIADAS.1982985,1982985,CRECHE COMUNITARIA CRESCER  COM AMOR,Creches Conveniadas,31308811,BECO,DA PEDREIRA,35,,Cabana do Pai Tomás,OESTE,POINT (605083.176147031 7793461.06458552)
CRECHES_CONVENIADAS.1982200,1982200,CRECHE COMUNITÁRIA MARIA FLORIPES,Creches Conveniadas,31281301,AVENIDA,FLOR DE SEDA,1188,,Lindéia,BARREIRO,POINT (599742.177879645 7790370.03375588)
CRECHES_CONVENIADAS.1982159,1982159,ABRIGO DE PAZ,Creches Conveniadas,31229750,RUA,ARTICA,200,,Caiçara-Adelaide,NOROESTE,POINT (607269.751416526 7798756.81665053)
CRECHES_CONVENIADAS.1982212,1982212,INSTITUTO ESPIRITA EURIPEDES,Creches Conveniadas,31281972,RUA,TABOAO DA SERRA,235,,Itaipu,BARREIRO,POINT (599399.513574082 7788800.34326183)
CRECHES_CONVENIADAS.1982082,1982082,CRECHE DORA RIBEIRO,Creches Conveniadas,31290017,RUA,BERTOPOLIS,449,,Conjunto Providência,NORTE,POINT (612177.432649536 7804147.474601)
CRECHES_CONVENIADAS.1982709,1982709,ABA MUNDO CRIANÇA,Creches Conveniadas,31379808,RUA,PORTO SEGURO,505,,Nova Vista,LESTE,POINT (614912.626594198 7800684.97417966)
CRECHES_CONVENIADAS.1982986,1982986,CRECHE VIRGILIO PEDRO DE  ALMEIDA,Creches Conveniadas,31290068,RUA,QUARENTA E TRES,43,,Novo Aarão Reis,NORTE,POINT (614265.253604365 7805900.7225292)
CRECHES_CONVENIADAS.1982529,1982529,CENTRO DE EDUCAÇÃO INFANTIL PROFESSORA MARIA LÚCIA HANNAS,Creches Conveniadas,31356417,RUA,QUITO,53,,Trevo,PAMPULHA,POINT (603659.481654266 7805868.50908615)
CRECHES_CONVENIADAS.1982065,1982065,CRECHE CASINHA DOS ANJOS,Creches Conveniadas,31290041,RUA,JOSEFINA GUIMARAES VIEIRA,845,,Jardim Felicidade,NORTE,POINT (612653.685795161 7807390.43930167)
CRECHES_CONVENIADAS.1983622,1983622,INSTITUTO CHÃO DE GIZ,Creches Conveniadas,31384372,RUA,JEREMIAS,194,,Jardim Liberdade,BARREIRO,POINT (606272.243886346 7788961.44583558)
CRECHES_CONVENIADAS.1981800,1981800,CENTRO INFANTIL CAMINHO DO CÉU,Creches Conveniadas,31289876,RUA,ALAIR PEREIRA DA SILVA,205,,Conjunto Taquaril,LESTE,POINT (617159.73460667 7797026.23890462)
CRECHES_CONVENIADAS.1981835,1981835,CASA DA CRIANÇA SANTO ANTÔNIO,Creches Conveniadas,31365297,RUA,DAS VIOLAS,605,,Vila Califórnia,NOROESTE,POINT (603783.202302083 7797030.70799495)
CRECHES_CONVENIADAS.1981768,1981768,INSTITUTO TIA LÚCIA,Creches Conveniadas,31355941,RUA,JERIBA,188,,Olaria,BARREIRO,POINT (601796.366118969 7789389.45335018)
CRECHES_CONVENIADAS.1982542,1982542,LAR-ESCOLA TEREZINHA DELAMARE,Creches Conveniadas,31308757,RUA,WENCESLAU BRAZ,107,,Copacabana,VENDA NOVA,POINT (606268.747148217 7806945.01996549)
CRECHES_CONVENIADAS.1982538,1982538,CRECHE COMUNITÁRIA RECANTO VERDE,Creches Conveniadas,31291579,RUA,HEITOR A MONTALVAO,211,,Conjunto Serra Verde,VENDA NOVA,POINT (609492.954726384 7811028.07887068)
CRECHES_CONVENIADAS.1983421,1983421,CONSELHO COMUNITARIO ASSIS CHATEAUBRIAND,Creches Conveniadas,31257826,PRACA,GERALDA DINIZ DA SILVA,22,,Vale do Jatobá,BARREIRO,POINT (600770.780362734 7787217.39513727)
CRECHES_CONVENIADAS.1983261,1983261,"CRECHE DOM BOSCO - Unidade II
",Creches Conveniadas,31377023,RUA,GUAIANA,229,,Dom Bosco,NOROESTE,POINT (604727.68708 7798063.49482208)
CRECHES_CONVENIADAS.1983761,1983761,INSTITUTO PEDAGÓGICO CONSTRUIR,Creches Conveniadas,31384313,RUA,JOSE LINS DO REGO,256,,Tupi A,NORTE,POINT (612580.368385618 7806020.94529726)
CRECHES_CONVENIADAS.1981836,1981836,CRECHE ESCOLA INFANTIL PINGO D'ÁGUA,Creches Conveniadas,31281336,RUA,EPAMINONDAS OTONI,315,,Vista Alegre,OESTE,POINT (604758.627961386 7793528.52085499)
CRECHES_CONVENIADAS.1982508,1982508,CRECHE SONHO DE CRIANÇA,Creches Conveniadas,31339393,RUA,EPAMINONDAS OTONI,255,,Vista Alegre,OESTE,POINT (604725.322996274 7793585.50925516)
CRECHES_CONVENIADAS.1982090,1982090,CRECHE DO MENINO DEUS,Creches Conveniadas,31282235,RUA,NELSON,522,,União,NORDESTE,POINT (612902.28975484 7801173.09482412)
CRECHES_CONVENIADAS.1982187,1982187,COMUNIDADE INFANTIL PRÍNCIPE DA PAZ,Creches Conveniadas,31289892,RUA,IRACI CARNEIRO,10,,Monsenhor Messias,NOROESTE,POINT (607580.207454269 7798025.45551697)
CRECHES_CONVENIADAS.1982086,1982086,CRECHE CASA DO SOL,Creches Conveniadas,31282383,RUA,JUNIA CRISTINA,120,,Vista do Sol,NORDESTE,POINT (616231.854485577 7804576.57205619)
CRECHES_CONVENIADAS.1981853,1981853,CRECHE COMUNITÁRIA TIA MAMÁLIA,Creches Conveniadas,31315079,RUA,ESTEVAO MESSIAS,160,,Imbaúbas,OESTE,POINT (605403.840540013 7794421.60906947)
CRECHES_CONVENIADAS.1982054,1982054,CENTRO DE EDUCAÇÃO INFANTIL LUCINDA ÁLVARES DE OLIVEIRA LEITE,Creches Conveniadas,31289566,RUA,MADRE ISABEL TEJERO,100,,Mariano de Abreu,LESTE,POINT (616182.97312059 7799857.78255212)
CRECHES_CONVENIADAS.1982198,1982198,CRECHE COMUNITÁRIA MARIA BESSA,Creches Conveniadas,31281310,RUA,CLOVIS DE SOUZA MUNHOZ,53,,Lindéia,BARREIRO,POINT (598925.756835901 7789789.50192145)
CRECHES_CONVENIADAS.1983221,1983221,ASSOCIAÇÃO ARCO ENCANTADO,Creches Conveniadas,31375543,RUA,RADIALISTA MARIO MARCOS,49,,Céu Azul,VENDA NOVA,POINT (604534.063533865 7808230.83014428)
CRECHES_CONVENIADAS.1982213,1982213,CENTRO INFANTIL LAR FELIZ,Creches Conveniadas,31004081,RUA,MADRE PAULINA,64,,Diamante,BARREIRO,POINT (601195.91198318 7789877.45401906)
