FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983101,1983101,EMEI TAQUARIL,EMEIS,31357537,RUA,DESEMBARGADOR BRAULIO,3550,,Cidade Jardim Taquaril,LESTE,POINT (617065.360918702 7796762.35261791)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983131,1983131,EMEI AARÃO REIS,EMEIS,31357820,RUA,TRES,25,,São Gonçalo,NORTE,POINT (612907.954649871 7805044.90672803)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983062,1983062,EMEI HENFIL,EMEIS,31273732,RUA,BOAVENTURA,844,,Indaiá,PAMPULHA,POINT (609501.48917523 7803190.09426973)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983187,1983187,EMEI ENGENHO NOGUEIRA,EMEIS,31365572,RUA,ENGENHO DO MAR,10,,Engenho Nogueira,PAMPULHA,POINT (606598.951983049 7800125.88798003)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983122,1983122,EMEI SÃO MARCOS,EMEIS,31362166,RUA,SANTO ALBERTO,10,,Fernão Dias,NORDESTE,POINT (613687.046756488 7802384.35827495)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983050,1983050,EMEI PARAÍSO,EMEIS,31357502,RUA,ITABIRITO,416,,Paraíso,LESTE,POINT (614608.124056036 7797206.55220237)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983049,1983049,EMEI MIRAMAR,EMEIS,31357359,RUA,TRES MARIAS,151,,Miramar,BARREIRO,POINT (603334.273801077 7788792.84478812)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983109,1983109,EMEI JARDIM DOS COMERCIÁRIOS,EMEIS,31358029,RUA,SETE DE OUTUBRO,600,,Jardim dos Comerciários,VENDA NOVA,POINT (607217.274863427 7811344.25451405)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983141,1983141,EMEI CASTELO,EMEIS,31357960,RUA,CASTELO DE ALCAZAR,10,,Castelo,PAMPULHA,POINT (604977.89320706 7801782.09086474)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983118,1983118,EMEI MANTIQUEIRA,EMEIS,31361984,RUA,ARAMITA FRANCISCA DOS SANTOS,88,,Mantiqueira,VENDA NOVA,POINT (607007.58304298 7811636.36505579)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983098,1983098,EMEI POMPÉIA,EMEIS,31362158,RUA,BELEM,1800,,Pompéia,LESTE,POINT (614793.944157246 7797370.78877249)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983068,1983068,EMEI DELFIM MOREIRA,EMEIS,31357456,RUA,ESPIRITO SANTO,890,,Centro,HIPERCENTRO,POINT (611111.737649347 7796752.05471401)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983130,1983130,EMEI OURO MINAS,EMEIS,31357588,RUA,DAS URSULINAS,98,,Ouro Minas,NORDESTE,POINT (614638.724384218 7805261.94255101)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983137,1983137,EMEI JARDIM VITÓRIA,EMEIS,31357561,RUA,BRANCA,250,,Vitória,NORDESTE,POINT (617000.309453051 7803570.68680122)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983143,1983143,EMEI PROFESSORA MARTA NAIR MONTEIRO,EMEIS,31357480,RUA,UNIAO,16,,Santa Rita de Cássia,CENTRO-SUL,POINT (610733.673934221 7793298.19773659)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983076,1983076,EMEI PLANALTO,EMEIS,31362093,RUA,LUIZ DE MELLO MATTOS,215,,Planalto,NORTE,POINT (610430.243355818 7805941.77417326)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983115,1983115,EMEI PAULO VI,EMEIS,31361763,RUA,QUATRO MIL SETECENTOS E SESSENTA E NOVE,150,,Conjunto Paulo VI,NORDESTE,POINT (616622.575571697 7806625.81493874)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983177,1983177,EMEI GOIÂNIA,EMEIS,31361810,RUA,JOSE ARCANJO SANTIAGO,300,,Goiânia,NORDESTE,POINT (615320.565003208 7802223.65098645)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983168,1983168,EMEI CASTELO DE CRATO,EMEIS,31365564,RUA,CASTELO DE CRATO,101,,Castelo,PAMPULHA,POINT (605249.964839605 7801724.75253579)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983157,1983157,EMEI CAC HAVAI,EMEIS,31357871,AVENIDA,COSTA DO MARFIM,480,,Havaí,OESTE,POINT (607687.040612968 7792229.5752516)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983065,1983065,EMEI ELOS,EMEIS,31002607,RUA,MANOEL ALEXANDRINO,440,,São Paulo,NORDESTE,POINT (612579.275296234 7802915.0602521)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983180,1983180,EMEI COQUEIROS,EMEIS,31361771,RUA,ENEIDA,1465,,Coqueiros,NOROESTE,POINT (602449.659625005 7799423.64092039)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983077,1983077,EMEI TIMBIRAS,EMEIS,31357413,RUA,DOS TIMBIRAS,1697,,Lourdes,HIPERCENTRO,POINT (611016.737277213 7796244.66799111)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983162,1983162,EMEI PADRE TARCÍSIO,EMEIS,31357448,RUA,MANGABEIRA DA SERRA,280,,Marçola,CENTRO-SUL,POINT (614107.08181908 7794324.25888482)
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.1983096,1983096,EMEI ITAIPU,EMEIS,31362212,RUA,TINGUI,221,,CDI Jatobá,BARREIRO,POINT (600093.038554439 7788785.89620249)
