FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981712,1981712,ESCOLA MUNICIPAL JARDIM VITORIA,Municipal,31362581,RUA,LOURDES GONCALVES BARBOSA,160,,Jardim Vitória,NORDESTE,POINT (618096.19040583 7803893.97099766)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981976,1981976,ESCOLA MUNICIPAL VILA FAZENDINHA,Municipal,31330868,RUA,PAULO DE SOUZA,51,,Fazendinha,CENTRO-SUL,POINT (614476.314234965 7795769.77465427)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982261,1982261,ESCOLA MUNICIPAL MARIA DE REZENDE COSTA,Municipal,31003166,AVENIDA,ABILIO MACHADO,1009,,Glória,NOROESTE,POINT (604681.603529817 7798572.5641546)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981974,1981974,ESCOLA MUNICIPAL ACADEMICO VIVALDI MOREIRA,Municipal,31312614,RUA,AGENOR DE PAULA ESTRELA,393,,Jaqueline,NORTE,POINT (610991.323585093 7809637.76186568)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981908,1981908,ESCOLA MUNICIPAL DOM JAIME DE BARROS CAMARA,Municipal,31003310,RUA,FREDERICO BRACHER JUNIOR,123,,Carlos Prates,NOROESTE,POINT (608010.261217681 7797549.58237957)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981863,1981863,ESCOLA MUNICIPAL MONTEIRO LOBATO,Municipal,31002909,RUA,SANTA APOLONIA,120,,São Marcos,NORDESTE,POINT (614102.249754323 7802015.1034357)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981924,1981924,ESCOLA MUNICIPAL MONSENHOR JOAO RODRIGUES DE OLIVEIRA,Municipal,31002691,RUA,ARAPARI,95,,São Geraldo,LESTE,POINT (615436.988078823 7799410.06368399)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982244,1982244,ESCOLA MUNICIPAL PROFESSOR CLAUDIO BRANDAO,Municipal,31003328,RUA,CANTAGALO,1147,,Aparecida,NOROESTE,POINT (609629.934691829 7800339.85442778)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981732,1981732,ESCOLA MUNICIPAL PROFESSOR MILTON LAGE,Municipal,31003735,RUA,ITAGIBA MIRANDA RABELO,70,,Vila Maria,NORDESTE,POINT (616760.16572962 7804546.20823666)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982040,1982040,ESCOLA MUNICIPAL AIRES DA MATA MACHADO,Municipal,31002836,AVENIDA,SENADOR LEVINDO COELHO,632,,Tirol,BARREIRO,POINT (600952.131842414 7788884.23618567)
