FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_ESTADUAIS.1982110,1982110,ESCOLA ESTADUAL ANITA BRINA BRANDAO,Estadual,31001210,PRACA,MANOEL DOS REIS FILHO,5,,Jaraguá,PAMPULHA,POINT (610078.541604907 7804090.32103118)
ESCOLAS_ESTADUAIS.1982245,1982245,ESCOLA ESTADUAL TITO FULGENCIO,Estadual,31001449,RUA,JACUI,2357,,Renascença,NORDESTE,POINT (611310.668642988 7800028.99770177)
ESCOLAS_ESTADUAIS.1981972,1981972,ESCOLA ESTADUAL FLAVIO DOS SANTOS,Estadual,31001805,RUA,JACUI,1131,,Concórdia,NORDESTE,POINT (611686.407030022 7798849.00788528)
ESCOLAS_ESTADUAIS.1981722,1981722,ESCOLA ESTADUAL MINISTRO ALFREDO VILHENA VALLADAO,Estadual,31000795,RUA,SONIA MORAES ANGEL,111,,Tirol,BARREIRO,POINT (600653.673508122 7789123.98738501)
ESCOLAS_ESTADUAIS.1981949,1981949,ESCOLA ESTADUAL MAESTRO VILLA LOBOS,Estadual,31001490,RUA,OURO PRETO,1144,,Santo Agostinho,CENTRO-SUL,POINT (609632.960916685 7796101.17719825)
ESCOLAS_ESTADUAIS.1981917,1981917,ESCOLA ESTADUAL CARLOS DRUMMOND DE ANDRADE,Estadual,31002526,RUA,PROFESSORA GABRIELA VARELA,360,,Jardim Felicidade,NORTE,POINT (611986.159961869 7806675.52482044)
ESCOLAS_ESTADUAIS.1982205,1982205,ESCOLA ESTADUAL FRANCISCO MENEZES FILHO,Estadual,31001881,RUA,JOAO ANTONIO CARDOSO,318,,Ouro Preto,PAMPULHA,POINT (606469.747848775 7802170.27185162)
ESCOLAS_ESTADUAIS.1982227,1982227,ESCOLA ESTADUAL PEDRO DUTRA,Estadual,31001899,RUA,HUMAITA,1094,,Padre Eustáquio,NOROESTE,POINT (606478.570902172 7796984.31743761)
ESCOLAS_ESTADUAIS.1981989,1981989,ESCOLA ESTADUAL ARTUR JOVIANO,Estadual,31001546,RUA,EUCLASIO,201,,Santa Efigênia,LESTE,POINT (613631.972762435 7796628.77980626)
ESCOLAS_ESTADUAIS.1981970,1981970,ESCOLA ESTADUAL JOVEM PROTAGONISTA,Estadual,31322563,AVENIDA,DOS ANDRADAS,4015,,Santa Tereza,LESTE,POINT (614136.71738348 7797972.41631295)
ESCOLAS_ESTADUAIS.1982230,1982230,ESCOLA ESTADUAL CESARIO ALVIM,Estadual,31001155,RUA,RIO GRANDE DO SUL,235,,Centro,HIPERCENTRO,POINT (610418.888828223 7797262.80075314)
ESCOLAS_ESTADUAIS.1981991,1981991,ESCOLA ESTADUAL PANDIA CALOGERAS,Estadual,31001732,PRACA,CARLOS CHAGAS,35,,Santo Agostinho,CENTRO-SUL,POINT (610066.527409767 7795836.68103567)
ESCOLAS_ESTADUAIS.1982011,1982011,ESCOLA ESTADUAL JOSE HEILBUTH GONCALVES,Estadual,31002496,AVENIDA,DOM PEDRO I,527,,Santa Branca,PAMPULHA,POINT (608148.18945522 7805915.79946034)
ESCOLAS_ESTADUAIS.1982259,1982259,ESCOLA ESTADUAL PROFESSOR LEON RENAULT,Estadual,31001180,AVENIDA,AMAZONAS,5855,,Gameleira,OESTE,POINT (606154.632909005 7795755.38758272)
ESCOLAS_ESTADUAIS.1981943,1981943,ESCOLA ESTADUAL MAURICIO MURGEL,Estadual,31000639,AVENIDA,AMAZONAS,5154,,Nova Suissa,OESTE,POINT (606930.039123221 7796001.53747962)
ESCOLAS_ESTADUAIS.1981968,1981968,COLEGIO TIRADENTES PMMG GAMELEIRA,Estadual,31307696,AVENIDA,AMAZONAS,6455,,Gameleira,OESTE,POINT (605659.96470969 7795627.39363552)
ESCOLAS_ESTADUAIS.1981706,1981706,ESCOLA ESTADUAL PADRE JOAO BOSCO PENIDO BURNIER,Estadual,31002151,RUA,DAS PERPETUAS,79,,Lindéia,BARREIRO,POINT (599689.923964342 7791089.64728063)
ESCOLAS_ESTADUAIS.1982251,1982251,ESCOLA ESTADUAL TECNICO INDUSTRIAL PROFESSOR FONTES,Estadual,31000281,RUA,MICHEL ECHENIQUE,500,,Horto Florestal,LESTE,POINT (613547.741462951 7800824.9356909)
ESCOLAS_ESTADUAIS.1982250,1982250,ESCOLA ESTADUAL PRESIDENTE DUTRA,Estadual,31000302,RUA,MICHEL ECHENIQUE,400,,Horto Florestal,LESTE,POINT (613560.992534735 7800678.7454475)
ESCOLAS_ESTADUAIS.1982149,1982149,ESCOLA ESTADUAL SANTO AFONSO,Estadual,31000248,AVENIDA,BERNARDO DE VASCONCELOS,1334,,Renascença,NORDESTE,POINT (611028.528834557 7801055.41877673)
ESCOLAS_ESTADUAIS.1981903,1981903,ESCOLA ESTADUAL DOUTOR SIMAO TAMM BIAS FORTES,Estadual,31000124,RUA,MARIA BEATRIZ,1200,,Havaí,OESTE,POINT (607157.715130077 7792744.78038309)
